Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
MJ Dagar,2024-2024,Chennai Super Kings,Sunrisers Hyderabad,117.4,Orthodox,,,,,,,,,,,
SD Chauhan,2024-2024,Chennai Super Kings,Royal Challengers Bengaluru,132.3,Offbreak,564,84*,24.52,0,0,-,-,0,17.0,0.0,-
Swapnil Singh,2024-2024,Chennai Super Kings,Kings XI Punjab,129.0,Orthodox,988,52,22.45,0,73,6/19,25.63,1,32.0,0.0,-3.17
WG Jacks,2024-2024,Chennai Super Kings,England,155.6,Offbreak,6120,108*,29.00,5,80,4/15,22.68,0,112.0,0.0,6.31
Yash Dayal,2024-2025,Chennai Super Kings,Gujarat Titans,50.0,Medium,14,4*,3.50,0,66,3/20,30.77,0,9.0,0.0,-27.27
B Kumar,2025-2025,Chennai Super Kings,India,88.7,Medium,522,27,10.44,0,327,5/4,25.11,5,64.0,0.0,-14.67
JG Bethell,2025-2025,Chennai Super Kings,England,140.7,Orthodox,1484,87,24.32,0,18,2/5,26.50,0,43.0,0.0,-2.17
JM Sharma,2025-2025,Chennai Super Kings,India,157.0,,,,,,,,,,,,
KH Pandya,2025-2025,Chennai Super Kings,India,131.1,Orthodox,2954,86,23.82,0,162,4/15,30.01,0,82.0,0.0,-6.18
L Ngidi,2025-2025,Chennai Super Kings,South Africa,77.5,Fast,80,13*,6.66,0,190,5/39,21.34,1,31.0,0.0,-14.68
LS Livingstone,2025-2025,Chennai Super Kings,England,144.4,Legbreak,,,,,,,,,,,
MS Bhandage,2025-2025,Chennai Super Kings,Royal Challengers Bengaluru,142.9,Medium,,,,,,,,,,,
N Thushara,2025-2025,Chennai Super Kings,Sri Lanka,65.1,Medium,40,7*,4.00,0,170,5/13,19.84,2,15.0,0.0,-15.84
PD Salt,2025-2025,Chennai Super Kings,England,155.9,Offbreak,7763,141*,28.12,4,-,-,-,-,165.0,14.0,-
R Shepherd,2025-2025,Chennai Super Kings,West Indies,155.5,Medium,2173,73*,23.36,0,189,4/13,26.00,0,45.0,0.0,-2.63
Rasikh Salam,2025-2025,Chennai Super Kings,Mumbai Indians,95.7,Medium,,,,,,,,,,,
Suyash Sharma,2025-2025,Chennai Super Kings,Kolkata Knight Riders,,Legbreak,6,6*,-,0,41,5/13,28.29,1,4.0,0.0,-
A Chopra,2008-2009,Deccan Chargers,India Women,68.5,,334,72*,18.55,0,-,-,-,-,4.0,0.0,-
AB Agarkar,2008-2010,Deccan Chargers,India,118.1,Medium,286,39,14.30,0,47,3/25,34.21,0,10.0,0.0,-19.91
AB Dinda,2008-2010,Deccan Chargers,India,66.2,Medium,110,22,5.23,0,151,4/13,25.31,0,23.0,0.0,-20.07
BAW Mendis,2008-2010,Deccan Chargers,Sri Lanka,67.6,Offbreak,214,27*,6.68,0,170,6/8,19.00,2,29.0,0.0,-12.31
BB McCullum,2008-2013,Deccan Chargers,New Zealand,135.1,Medium,9922,158*,29.97,7,0,-,-,0,153.0,14.0,-
BJ Hodge,2008-2010,Deccan Chargers,Australia,130.3,Offbreak,7406,106,36.84,2,65,4/13,22.32,0,102.0,0.0,14.52
DB Das,2008-2013,Deccan Chargers,Kolkata Knight Riders,123.9,Legbreak,728,78*,28.00,0,-,-,-,-,18.0,0.0,-
DJ Hussey,2008-2010,Deccan Chargers,Australia,124.4,Offbreak,6097,100*,30.03,1,68,3/25,26.35,0,129.0,0.0,3.68
I Sharma,2008-2010,Deccan Chargers,India,83.3,Medium,67,10*,8.37,0,155,5/12,31.79,1,33.0,0.0,-23.41
Iqbal Abdulla,2008-2013,Deccan Chargers,Kolkata Knight Riders,113.8,Orthodox,426,46*,17.04,0,86,5/10,27.33,1,33.0,0.0,-10.29
LR Shukla,2008-2013,Deccan Chargers,Kolkata Knight Riders,115.7,Medium,994,76,20.70,0,47,3/6,24.61,0,31.0,0.0,-3.90
M Kartik,2008-2010,Deccan Chargers,India,103.7,Orthodox,320,35,12.80,0,110,5/13,31.36,1,38.0,0.0,-18.56
Mohammad Hafeez,2008-2008,Deccan Chargers,Pakistan,116.7,Offbreak,7946,102*,25.79,2,202,4/10,24.00,0,111.0,0.0,1.78
RT Ponting,2008-2008,Deccan Chargers,Australia,111.3,Medium,909,98*,22.72,0,1,1/11,23.00,0,17.0,0.0,-0.27
SC Ganguly,2008-2010,Deccan Chargers,Kolkata Knight Riders,106.8,Medium,1726,91,25.01,0,29,3/27,26.06,0,28.0,0.0,-1.05
Salman Butt,2008-2008,Deccan Chargers,Pakistan,109.1,Offbreak,2349,99*,35.05,0,5,2/25,28.20,0,18.0,0.0,6.85
Shoaib Akhtar,2008-2008,Deccan Chargers,Pakistan,100.0,Fast,75,14,5.35,0,44,5/23,22.22,1,7.0,0.0,-16.87
T Taibu,2008-2008,Deccan Chargers,Zimbabwe,102.9,Medium,887,89,25.34,0,0,-,-,0,27.0,13.0,-
Umar Gul,2008-2008,Deccan Chargers,Pakistan,115.3,Medium,548,32,8.69,0,222,6/24,20.16,3,38.0,0.0,-11.46
WP Saha,2008-2010,Deccan Chargers,Chennai Super Kings,125.5,,4655,129,24.24,2,-,-,-,-,142.0,39.0,-
AD Mathews,2009-2010,Deccan Chargers,Sri Lanka,124.3,Medium,3858,81*,27.36,0,102,4/19,30.87,0,74.0,0.0,-3.51
AN Ghosh,2009-2009,Deccan Chargers,Kolkata Knight Riders,87.5,Medium,263,67,18.78,0,-,-,-,-,13.0,0.0,-
Anureet Singh,2009-2009,Deccan Chargers,Kings XI Punjab,91.2,Medium,282,41,15.66,0,64,3/12,29.89,0,23.0,0.0,-14.22
