Name,Span,Team,OtherTeam,SR,BowlingStyle,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
J Seymour,2021-2022,Melbourne Renegades,Melbourne Renegades,132.8,Offbreak,154,25,15.40,0,0,-,-,0,0.0,0.0,-
J Seymour,2022-2023,Melbourne Stars,Melbourne Renegades,132.8,Offbreak,154,25,15.40,0,0,-,-,0,0.0,0.0,-
J Weatherald,2016-2025,Adelaide Strikers,Adelaide Strikers,130.9,Legbreak,2324,115,25.82,1,-,-,-,-,35.0,0.0,-
JA Burns,2012-2021,Brisbane Heat,Italy,121.3,Medium,1905,108*,25.40,1,3,1/8,23.66,0,38.0,0.0,1.73
JA Burns,2021-2023,Melbourne Stars,Italy,121.3,Medium,1905,108*,25.40,1,3,1/8,23.66,0,38.0,0.0,1.73
JA Chohan,2025-2025,Sydney Sixers,Sydney Sixers,99.0,Legbreak,99,37,8.25,0,39,5/14,29.00,1,7.0,0.0,-20.74
JA Freeman,2019-2019,Hobart Hurricanes,Hobart Hurricanes,,Offbreak,-,-,-,-,1,1/26,37.00,0,0.0,0.0,-
JA Prestwidge,2019-2020,Brisbane Heat,Brisbane Heat,120.2,Medium,149,33,14.90,0,17,2/15,29.05,0,6.0,0.0,-14.15
JA Prestwidge,2020-2023,Melbourne Renegades,Brisbane Heat,120.2,Medium,149,33,14.90,0,17,2/15,29.05,0,6.0,0.0,-14.15
JA Richardson,2016-2025,Perth Scorchers,Australia,110.4,Fast,349,33*,13.96,0,124,4/9,22.89,0,30.0,0.0,-8.93
JA Thompson,2021-2022,Hobart Hurricanes,Hobart Hurricanes,153.8,Medium,1262,74,17.05,0,131,5/21,25.21,1,44.0,0.0,-8.15
JC Archer,2017-2019,Hobart Hurricanes,England,138.3,Fast,715,36,14.30,0,225,4/18,23.47,0,57.0,0.0,-9.17
JC Buttler,2013-2014,Melbourne Renegades,England,147.0,,13474,124,35.74,8,-,-,-,-,287.0,49.0,-
JC Silk,2013-2025,Sydney Sixers,Sydney Sixers,125.4,,,,,,,,,,,,
JD Cook,2018-2021,Sydney Thunder,Sydney Thunder,95.5,Legbreak,21,12*,10.50,0,24,4/21,25.00,0,6.0,0.0,-14.49
JD Smith,2012-2012,Adelaide Strikers,Adelaide Strikers,52.9,Offbreak,20,15,10.00,0,1,1/15,15.00,0,0.0,0.0,-4.99
JD Wildermuth,2016-2022,Brisbane Heat,Australia,118.0,Medium,308,31,10.62,0,42,3/16,34.92,0,10.0,0.0,-24.30
JD Wildermuth,2017-2020,Melbourne Renegades,Australia,118.0,Medium,308,31,10.62,0,42,3/16,34.92,0,10.0,0.0,-24.30
