Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Junaid Siddique,2019-2025,87,18,7.90,0,111,4/12,20.70,0,18,0,-12.79
T Kohler-Cadmore,2014-2025,6524,127,28.36,1,-,-,-,-,129,5,-
E Lewis,,,,,,,,,,,,
LS Livingstone,2015-2025,7385,103,28.18,2,143,4/17,25.76,0,126,0,2.42
D Madushanka,2020-2025,29,12,3.22,0,56,3/12,30.94,0,11,0,-27.72
DJ Malan,2006-2025,10501,117,32.81,5,23,2/10,31.39,0,132,0,1.42
T Mathew,2023-2025,4,4,4.00,0,8,2/15,36.87,0,6,0,-32.87
KP Meiyappan,2021-2023,19,12,9.50,0,23,4/25,15.95,0,4,0,-6.45
AF Milne,2010-2025,498,22,11.06,0,247,5/11,23.54,3,53,0,-12.47
Mohammad Nabi,2010-2025,6516,89,21.08,0,388,5/15,24.82,1,217,0,-3.73
Muhammad Jawadullah,2023-2025,21,13*,5.25,0,70,4/21,19.37,0,10,0,-14.12
Naveen-ul-Haq,2017-2025,365,30*,8.69,0,267,5/11,24.26,1,60,0,-15.57
Nilansh Keswani,,84,31*,21.00,0,11,2/16,30.81,0,8,0,-9.81
Noor Ahmad,2019-2025,221,20,6.13,0,209,5/11,21.51,2,40,0,-15.37
KMA Paul,,,,,,,,,,,,
AU Rashid,2008-2025,976,36*,11.34,0,379,4/2,22.97,0,86,0,-11.62
DR Sams,2017-2025,2177,98*,16.74,0,250,5/30,24.63,1,81,0,-7.88
TL Seifert,2014-2025,6584,125*,28.50,4,-,-,-,-,181,37,-
CB Sole,,,,,,,,,,,,
TG Southee,2007-2025,930,74,10.94,0,346,6/16,24.57,4,132,0,-13.63
MP Stoinis,2012-2025,6843,147*,29.36,2,179,4/15,26.84,0,85,0,2.52
M Theekshana,2018-2025,249,15,6.07,0,210,4/15,25.95,0,42,0,-19.87
MS Wade,2009-2025,5267,130*,26.73,1,-,-,-,-,150,20,-
PI Walter,2016-2025,2446,78,19.72,0,116,3/20,27.29,0,86,0,-7.56
LWP Wells,2011-2025,1425,87,18.26,0,41,2/19,36.09,0,38,0,-17.82
SC Williams,,,,,,,,,,,,
CR Woakes,2008-2025,1031,57*,20.21,0,177,4/21,25.24,0,64,0,-5.02
