Player,Span,Team,Record Type
CA Ingram,2023-2024,Pretoria Capitals,Bowling
WG Jacks,2023-2025,Pretoria Capitals,Bowling
K Lion-Cachet,2025-2025,Pretoria Capitals,Bowling
JB Little,2023-2023,Pretoria Capitals,Bowling
LS Livingstone,2025-2025,Pretoria Capitals,Bowling
BKG Mendis,2023-2023,Pretoria Capitals,Bowling
S Muthusamy,2023-2025,Pretoria Capitals,Bowling
JDS Neesham,2023-2025,Pretoria Capitals,Bowling
A Nortje,2023-2023,Pretoria Capitals,Bowling
WD Parnell,2023-2024,Pretoria Capitals,Bowling
GG Peters,2025-2025,Pretoria Capitals,Bowling
M Pretorius,2023-2025,Pretoria Capitals,Bowling
Rahmanullah Gurbaz,2025-2025,Pretoria Capitals,Bowling
AU Rashid,2023-2024,Pretoria Capitals,Bowling
TS Rogers,2025-2025,Pretoria Capitals,Bowling
RR Rossouw,2023-2025,Pretoria Capitals,Bowling
PD Salt,2023-2024,Pretoria Capitals,Bowling
KI Simmonds,2025-2025,Pretoria Capitals,Bowling
WCF Smeed,2025-2025,Pretoria Capitals,Bowling
S Stolk,2025-2025,Pretoria Capitals,Bowling
AJ Turner,2025-2025,Pretoria Capitals,Bowling
T van Vuuren,2025-2025,Pretoria Capitals,Bowling
K Verreynne,2024-2025,Pretoria Capitals,Bowling
GC Viljoen,2024-2024,Pretoria Capitals,Bowling
TB Abell,2023-2025,Sunrisers Eastern Cape,Batting
MJ Ackerman,2023-2023,Sunrisers Eastern Cape,Batting
OEG Baartman,2023-2025,Sunrisers Eastern Cape,Batting
T Bavuma,2023-2024,Sunrisers Eastern Cape,Batting
DG Bedingham,2025-2025,Sunrisers Eastern Cape,Batting
BA Carse,2023-2023,Sunrisers Eastern Cape,Batting
JM Cox,2023-2023,Sunrisers Eastern Cape,Batting
MS Crane,2023-2023,Sunrisers Eastern Cape,Batting
Z Crawley,2025-2025,Sunrisers Eastern Cape,Batting
LA Dawson,2024-2025,Sunrisers Eastern Cape,Batting
T de Zorzi,2025-2025,Sunrisers Eastern Cape,Batting
SJ Erwee,2023-2023,Sunrisers Eastern Cape,Batting
JK Fuller,2023-2023,Sunrisers Eastern Cape,Batting
RJ Gleeson,2025-2025,Sunrisers Eastern Cape,Batting
A Gqamane,2023-2023,Sunrisers Eastern Cape,Batting
SR Harmer,2024-2025,Sunrisers Eastern Cape,Batting
J Hermann,2023-2025,Sunrisers Eastern Cape,Batting
M Jansen,2023-2025,Sunrisers Eastern Cape,Batting
PE Kruger,2024-2025,Sunrisers Eastern Cape,Batting
SSB Magala,2023-2023,Sunrisers Eastern Cape,Batting
DJ Malan,2024-2024,Sunrisers Eastern Cape,Batting
AK Markram,2023-2025,Sunrisers Eastern Cape,Batting
C Overton,2025-2025,Sunrisers Eastern Cape,Batting
AM Rossington,2023-2024,Sunrisers Eastern Cape,Batting
A Simelane,2025-2025,Sunrisers Eastern Cape,Batting
JT Smuts,2023-2023,Sunrisers Eastern Cape,Batting
T Stubbs,2023-2025,Sunrisers Eastern Cape,Batting
B Swanepoel,2024-2025,Sunrisers Eastern Cape,Batting
RE van der Merwe,2023-2023,Sunrisers Eastern Cape,Batting
DJ Worrall,2024-2024,Sunrisers Eastern Cape,Batting
TB Abell,2023-2025,Sunrisers Eastern Cape,Bowling
MJ Ackerman,2023-2023,Sunrisers Eastern Cape,Bowling
OEG Baartman,2023-2025,Sunrisers Eastern Cape,Bowling
T Bavuma,2023-2024,Sunrisers Eastern Cape,Bowling
DG Bedingham,2025-2025,Sunrisers Eastern Cape,Bowling
BA Carse,2023-2023,Sunrisers Eastern Cape,Bowling
JM Cox,2023-2023,Sunrisers Eastern Cape,Bowling
MS Crane,2023-2023,Sunrisers Eastern Cape,Bowling
Z Crawley,2025-2025,Sunrisers Eastern Cape,Bowling
LA Dawson,2024-2025,Sunrisers Eastern Cape,Bowling
T de Zorzi,2025-2025,Sunrisers Eastern Cape,Bowling
SJ Erwee,2023-2023,Sunrisers Eastern Cape,Bowling
JK Fuller,2023-2023,Sunrisers Eastern Cape,Bowling
RJ Gleeson,2025-2025,Sunrisers Eastern Cape,Bowling
A Gqamane,2023-2023,Sunrisers Eastern Cape,Bowling
SR Harmer,2024-2025,Sunrisers Eastern Cape,Bowling
J Hermann,2023-2025,Sunrisers Eastern Cape,Bowling
M Jansen,2023-2025,Sunrisers Eastern Cape,Bowling
PE Kruger,2024-2025,Sunrisers Eastern Cape,Bowling
SSB Magala,2023-2023,Sunrisers Eastern Cape,Bowling
DJ Malan,2024-2024,Sunrisers Eastern Cape,Bowling
AK Markram,2023-2025,Sunrisers Eastern Cape,Bowling
C Overton,2025-2025,Sunrisers Eastern Cape,Bowling
AM Rossington,2023-2024,Sunrisers Eastern Cape,Bowling
A Simelane,2025-2025,Sunrisers Eastern Cape,Bowling
JT Smuts,2023-2023,Sunrisers Eastern Cape,Bowling
T Stubbs,2023-2025,Sunrisers Eastern Cape,Bowling
B Swanepoel,2024-2025,Sunrisers Eastern Cape,Bowling
RE van der Merwe,2023-2023,Sunrisers Eastern Cape,Bowling
DJ Worrall,2024-2024,Sunrisers Eastern Cape,Bowling
