Player,Span,Team,Country,SR,Bowling Style
Sikandar Raza,2019-2019,Lahore Qalandars,Zimbabwe,136.3,Offbreak
LMP Simmons,2016-2018,Lahore Qalandars,West Indies,120.2,Medium
Sohail Khan,2016-2019,Lahore Qalandars,Pakistan,96.1,Medium
Sohail Tanvir,2016-2016,Lahore Qalandars,Pakistan,115.3,Medium
AW Summers,2019-2019,Lahore Qalandars,Hobart Hurricanes,,Fast
Tayyab Tahir,2023-2023,Lahore Qalandars,Pakistan,135.7,Legbreak
RN ten Doeschate,2016-2016,Lahore Qalandars,Netherlands,134.4,Medium
JA Thompson,2022-2022,Lahore Qalandars,Hobart Hurricanes,153.8,Medium
AJ Tye,2023-2023,Lahore Qalandars,Australia,128.1,Medium
Umaid Asif,2020-2022,Lahore Qalandars,Sialkot Stallions,160.6,Medium
Umer Khan,2019-2020,Lahore Qalandars,Karachi Kings,37.5,Orthodox
Usama Mir,2016-2020,Lahore Qalandars,Pakistan,129.4,Legbreak
Usman Shinwari,2017-2022,Lahore Qalandars,Pakistan,100.0,Medium
JM Vince,2016-2025,Lahore Qalandars,England,137.3,Medium
MS Wade,2023-2023,Lahore Qalandars,Australia,137.4,
CAK Walton,2020-2021,Lahore Qalandars,West Indies,125.0,
Waqas Maqsood,2020-2021,Lahore Qalandars,Pakistan,84.0,Medium
DA Warner,2025-2025,Lahore Qalandars,Australia,139.9,Legbreak
MH Wessels,2016-2016,Lahore Qalandars,Sydney Sixers,135.0,None
D Wiese,2018-2018,Lahore Qalandars,South Africa,141.5,Medium
Zahid Mahmood,2024-2024,Lahore Qalandars,Pakistan,66.7,Legbreak
Abbas Afridi,2022-2024,Multan Sultans,Pakistan,132.8,Medium
Aftab Ibrahim,2024-2024,Multan Sultans,Multan Sultans,,Medium
Ahmed Shehzad,2018-2018,Multan Sultans,Pakistan,119.5,Legbreak
Akif Javed,2025-2025,Multan Sultans,Fortune Barishal,112.8,Medium
MM Ali,2020-2020,Multan Sultans,England,139.7,Offbreak
Ali Shafique,2019-2020,Multan Sultans,,0,
Anwar Ali,2022-2023,Multan Sultans,Pakistan,138.5,Medium
Asad Shafiq,2020-2020,Multan Sultans,Pakistan,110.5,Legbreak
Asif Afridi,2022-2022,Multan Sultans,Lahore Qalandars,73.0,Orthodox
Bilawal Bhatti,2020-2020,Multan Sultans,Pakistan,104.9,Medium
RS Bopara,2020-2020,Multan Sultans,England,124.5,Medium
MG Bracewell,2025-2025,Multan Sultans,New Zealand,140.5,Offbreak
CR Brathwaite,2021-2023,Multan Sultans,West Indies,136.0,Medium
DM Bravo,2018-2018,Multan Sultans,West Indies,114.0,Medium
C Campher,2025-2025,Multan Sultans,Ireland,124.5,Medium
J Charles,2019-2024,Multan Sultans,West Indies,135.5,None
DT Christian,2019-2019,Multan Sultans,Australia,137.9,Medium
SS Cottrell,2023-2023,Multan Sultans,West Indies,118.3,Medium
TH David,2022-2023,Multan Sultans,Singapore,161.9,Offbreak
LJ Evans,2019-2019,Multan Sultans,Perth Scorchers,138.3,Medium
Faisal Akram,2024-2025,Multan Sultans,Multan Sultans,200.0,
CJ Green,2019-2019,Multan Sultans,Australia,137.8,Offbreak
Hamayun Altaf,2025-2025,Multan Sultans,Multan Sultans,123.1,
Hammad Azam,2019-2021,Multan Sultans,Pakistan,97.6,Medium
P Hatzoglou,2025-2025,Multan Sultans,Melbourne Renegades,104.9,Legbreak
RR Hendricks,2024-2024,Multan Sultans,South Africa,128.7,Medium
SO Hetmyer,2021-2021,Multan Sultans,West Indies,142.4,Legbreak
SD Hope,2025-2025,Multan Sultans,West Indies,129.2,None
AJ Hosein,2023-2023,Multan Sultans,West Indies,110.9,Orthodox
Iftikhar Ahmed,2024-2025,Multan Sultans,Pakistan,129.3,Offbreak
Ihsanullah,2022-2023,Multan Sultans,Afghanistan,116.0,Fast
Imran Khan,2021-2022,Multan Sultans,Portugal,87.5,Medium
Imran Tahir,2018-2022,Multan Sultans,South Africa,101.3,Legbreak
Izharulhaq Naveed,2023-2023,Multan Sultans,Sydney Sixers,54.5,Legbreak
Jahanzaib Sultan,2025-2025,Multan Sultans,Multan Sultans,119.0,
CJ Jordan,2024-2025,Multan Sultans,England,134.2,Medium
Junaid Khan,2018-2020,Multan Sultans,Pakistan,62.2,Medium
Kamran Ghulam,2025-2025,Multan Sultans,Islamabad United,123.5,Orthodox
Khushdil Shah,2020-2024,Multan Sultans,Pakistan,136.3,Orthodox
JB Little,2025-2025,Multan Sultans,Ireland,82.3,Fast
CA Lynn,2021-2021,Multan Sultans,Australia,143.8,Orthodox
A Lyth,2020-2020,Multan Sultans,Perth Scorchers,144.8,Medium
D Madushanka,2025-2025,Multan Sultans,Sri Lanka,51.1,Medium
DJ Malan,2024-2024,Multan Sultans,England,131.8,Legbreak
Mohammad Ali,2024-2024,Multan Sultans,Pakistan,42.9,Medium
DA Miller,2023-2023,Multan Sultans,South Africa,137.5,Offbreak
Mohammad Abbas,2019-2019,Multan Sultans,Multan Sultans,166.7,Medium
Mohammad Hasnain,2025-2025,Multan Sultans,Pakistan,83.6,Medium
Mohammad Ilyas,2019-2023,Multan Sultans,Multan Sultans,86.7,Medium
Mohammad Irfan,2018-2020,Multan Sultans,Pakistan,48.8,Fast
