Team,Country,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Rajasthan Royals,Afghanistan,Fazalhaq Farooqi,Bowler,52,16*,6.5,0,172,9-May,21.04,4,20,0,-14.54,59.3
Rajasthan Royals,India,Kumar Kartikeya,Bowler,28,6,4,0,51,10-Mar,21.66,0,4,0,-17.66,68.4
Rajasthan Royals,India,Akash Madhwal,Bowler,14,5*,7,0,58,5-May,25.77,1,7,0,-18.77,57.1
Rajasthan Royals,South Africa,Kwena Maphaka,Bowler,53,22*,26.5,0,49,18-Apr,25.22,0,12,0,1.27,94.4
Rajasthan Royals,Sri Lanka,Maheesh Theekshana,Bowler,249,15,6.07,0,213,15-Apr,25.86,0,43,0,-19.79,67.9
Rajasthan Royals,India,Yudhvir Singh,Bowler,198,29,9.9,0,29,13-Mar,33,0,15,0,-23.09,160.6
Rajasthan Royals,England,Jofra Archer,Bowler,715,36,14.3,0,225,18-Apr,23.47,0,57,0,-9.17,138.3
Rajasthan Royals,South Africa,Nandre Burger,Bowler,66,9,5.5,0,90,10-Mar,23.17,0,23,0,-17.67,54.4
Rajasthan Royals,India,Sandeep Sharma,Bowler,117,13*,11.7,0,223,18-May,25.92,1,45,0,-14.22,79.5
Royal Challengers Bengaluru,India,Rajat Patidar,Top order Batter,2775,112*,36.03,1,-,-,-,-,41,0,-,156.7
Royal Challengers Bengaluru,India,Mayank Agarwal,Batter,5012,111,25.7,2,0,-,-,0,93,0,-,132.8
Royal Challengers Bengaluru,India,Swastik Chikara,Batter,15,7,3.75,0,-,-,-,-,2,0,-,0
Royal Challengers Bengaluru,Australia,Tim David,Middle order Batter,5857,102*,30.82,1,15,Jan-00,64.06,0,172,0,-33.24,161.8
Royal Challengers Bengaluru,India,Virat Kohli,Top order Batter,13543,122*,41.92,9,8,25-Feb,83.37,0,185,0,-41.44,134.7
Royal Challengers Bengaluru,England,Phil Salt,Wicketkeeper Batter,7880,141*,28.24,4,-,-,-,-,166,14,-,155.8
Royal Challengers Bengaluru,New Zealand,Tim Seifert,Wicketkeeper Batter,6675,125*,28.52,4,-,-,-,-,181,37,-,135
Royal Challengers Bengaluru,India,Jitesh Sharma,Wicketkeeper Batter,2886,106,27.22,1,0,-,-,0,99,18,-,157
Royal Challengers Bengaluru,India,Devdutt Padikkal,Top order Batter,3053,124*,30.83,3,-,-,-,-,48,0,-,124.4
Royal Challengers Bengaluru,India,Manoj Bhandage,Allrounder,188,41,14.46,0,18,19-Mar,24.05,0,7,0,-9.59,142.9
