Player,Span,Team,Record Type
CA Lynn,2014-2019,Deccan Chargers,Batting
BB McCullum,2008-2013,Deccan Chargers,Batting
R McLaren,2013-2013,Deccan Chargers,Batting
Mandeep Singh,2010-2023,Deccan Chargers,Batting
Mashrafe Mortaza,2009-2009,Deccan Chargers,Batting
AD Mathews,2009-2010,Deccan Chargers,Batting
BAW Mendis,2008-2010,Deccan Chargers,Batting
Mohammad Hafeez,2008-2008,Deccan Chargers,Batting
Mohammed Shami,2013-2013,Deccan Chargers,Batting
EJG Morgan,2011-2021,Deccan Chargers,Batting
M Morkel,2014-2016,Deccan Chargers,Batting
C Munro,2016-2016,Deccan Chargers,Batting
KL Nagarkoti,2020-2021,Deccan Chargers,Batting
NS Naik,2019-2020,Deccan Chargers,Batting
SP Narine,2012-2025,Deccan Chargers,Batting
S Narwal,2013-2013,Deccan Chargers,Batting
A Nortje,2025-2025,Deccan Chargers,Batting
MK Pandey,2014-2025,Deccan Chargers,Batting
MB Parmar,2010-2010,Deccan Chargers,Batting
YK Pathan,2011-2017,Deccan Chargers,Batting
RT Ponting,2008-2008,Deccan Chargers,Batting
R Powell,2025-2025,Deccan Chargers,Batting
M Prasidh Krishna,2018-2021,Deccan Chargers,Batting
Y Prithvi Raj,2019-2019,Deccan Chargers,Batting
CA Pujara,2010-2010,Deccan Chargers,Batting
A Raghuvanshi,2024-2025,Deccan Chargers,Batting
AM Rahane,2022-2025,Deccan Chargers,Batting
Rahmanullah Gurbaz,2023-2025,Deccan Chargers,Batting
AS Rajpoot,2016-2017,Deccan Chargers,Batting
Ramandeep Singh,2024-2025,Deccan Chargers,Batting
N Rana,2018-2024,Deccan Chargers,Batting
Rasikh Salam,2022-2022,Deccan Chargers,Batting
AS Roy,2022-2025,Deccan Chargers,Batting
JJ Roy,2023-2023,Deccan Chargers,Batting
AD Russell,2014-2025,Deccan Chargers,Batting
WP Saha,2008-2010,Deccan Chargers,Batting
C Sakariya,2025-2025,Deccan Chargers,Batting
Salman Butt,2008-2008,Deccan Chargers,Batting
PD Salt,2024-2024,Deccan Chargers,Batting
S Sandeep Warrier,2019-2021,Deccan Chargers,Batting
PJ Sangwan,2012-2013,Deccan Chargers,Batting
SS Sarkar,2009-2009,Deccan Chargers,Batting
R Sathish,2016-2016,Deccan Chargers,Batting
JPR Scantlebury-Searles,2018-2018,Deccan Chargers,Batting
TL Seifert,2021-2021,Deccan Chargers,Batting
SMSM Senanayake,2013-2013,Deccan Chargers,Batting
OA Shah,2010-2010,Deccan Chargers,Batting
SS Shaikh,2009-2009,Deccan Chargers,Batting
Shakib Al Hasan,2011-2021,Deccan Chargers,Batting
I Sharma,2008-2010,Deccan Chargers,Batting
Shivam Mavi,2018-2022,Deccan Chargers,Batting
Shoaib Akhtar,2008-2008,Deccan Chargers,Batting
Shubman Gill,2018-2021,Deccan Chargers,Batting
LR Shukla,2008-2013,Deccan Chargers,Batting
RK Singh,2018-2025,Deccan Chargers,Batting
TG Southee,2021-2023,Deccan Chargers,Batting
MA Starc,2024-2024,Deccan Chargers,Batting
Suyash Sharma,2023-2024,Deccan Chargers,Batting
T Taibu,2008-2008,Deccan Chargers,Batting
RN ten Doeschate,2011-2015,Deccan Chargers,Batting
SN Thakur,2023-2023,Deccan Chargers,Batting
MK Tiwary,2010-2013,Deccan Chargers,Batting
A Tomar,2022-2022,Deccan Chargers,Batting
RA Tripathi,2020-2021,Deccan Chargers,Batting
Umar Gul,2008-2008,Deccan Chargers,Batting
JD Unadkat,2010-2016,Deccan Chargers,Batting
RV Uthappa,2014-2019,Deccan Chargers,Batting
MN van Wyk,2009-2009,Deccan Chargers,Batting
CV Varun,2020-2025,Deccan Chargers,Batting
R Vinay Kumar,2014-2018,Deccan Chargers,Batting
D Wiese,2023-2023,Deccan Chargers,Batting
CR Woakes,2017-2017,Deccan Chargers,Batting
SA Yadav,2014-2017,Deccan Chargers,Batting
UT Yadav,2014-2023,Deccan Chargers,Batting
Yashpal Singh,2009-2009,Deccan Chargers,Batting
