Player,Span,Team
Abdur Rehman,2016-2016,Peshawar Zalmi
Abrar Ahmed,2021-2021,Peshawar Zalmi
Adil Amin,2020-2020,Peshawar Zalmi
Ahmed Daniyal,2025-2025,Peshawar Zalmi
Aimal Khan,2024-2024,Peshawar Zalmi
Ali Majid,2022-2022,Peshawar Zalmi
Ali Raza,2025-2025,Peshawar Zalmi
FA Allen,2021-2021,Peshawar Zalmi
J Allenby,2016-2016,Peshawar Zalmi
Amad Butt,2021-2022,Peshawar Zalmi
Arif Yaqoob,2024-2025,Peshawar Zalmi
Arish Ali,2022-2022,Peshawar Zalmi
Arshad Iqbal,2022-2023,Peshawar Zalmi
Asif Ali,2024-2024,Peshawar Zalmi
Azmatullah Omarzai,2023-2023,Peshawar Zalmi
Babar Azam,2023-2025,Peshawar Zalmi
JM Bairstow,2016-2016,Peshawar Zalmi
T Banton,2020-2020,Peshawar Zalmi
RS Bopara,2021-2021,Peshawar Zalmi
CR Brathwaite,2020-2020,Peshawar Zalmi
PR Brown,2022-2022,Peshawar Zalmi
M Bryant,2025-2025,Peshawar Zalmi
BCJ Cutting,2022-2022,Peshawar Zalmi
LA Dawson,2018-2020,Peshawar Zalmi
F du Plessis,2020-2020,Peshawar Zalmi
ADS Fletcher,2018-2019,Peshawar Zalmi
L Gregory,2020-2020,Peshawar Zalmi
Haider Ali,2020-2022,Peshawar Zalmi
Hammad Azam,2018-2020,Peshawar Zalmi
Haris Sohail,2017-2018,Peshawar Zalmi
Hasan Ali,2016-2020,Peshawar Zalmi
Haseebullah Khan,2023-2024,Peshawar Zalmi
Hazratullah Zazai,2021-2022,Peshawar Zalmi
BJ Hodge,2016-2016,Peshawar Zalmi
BAC Howell,2022-2022,Peshawar Zalmi
Hussain Talat,2022-2025,Peshawar Zalmi
Ibtisam Sheikh,2018-2019,Peshawar Zalmi
Iftikhar Ahmed,2017-2017,Peshawar Zalmi
Imam-ul-Haq,2019-2021,Peshawar Zalmi
Imran Khan,2016-2017,Peshawar Zalmi
CJ Jordan,2017-2019,Peshawar Zalmi
AS Joseph,2025-2025,Peshawar Zalmi
Junaid Khan,2016-2017,Peshawar Zalmi
Kamran Akmal,2016-2022,Peshawar Zalmi
Khalid Usman,2018-2022,Peshawar Zalmi
Khurram Shahzad,2023-2024,Peshawar Zalmi
Khushdil Shah,2017-2018,Peshawar Zalmi
T Kohler-Cadmore,2021-2025,Peshawar Zalmi
GF Linde,2025-2025,Peshawar Zalmi
LS Livingstone,2020-2022,Peshawar Zalmi
Maaz Sadaqat,2025-2025,Peshawar Zalmi
WL Madsen,2019-2019,Peshawar Zalmi
S Mahmood,2020-2022,Peshawar Zalmi
DJ Malan,2016-2019,Peshawar Zalmi
Mohammad Ali,2025-2025,Peshawar Zalmi
Mehran Mumtaz,2024-2024,Peshawar Zalmi
DA Miller,2021-2021,Peshawar Zalmi
TS Mills,2019-2019,Peshawar Zalmi
Misbah-ul-Haq,2019-2019,Peshawar Zalmi
Mohammad Amir Khan,2020-2020,Peshawar Zalmi
Mohammad Asghar,2016-2018,Peshawar Zalmi
Mohammad Hafeez,2016-2018,Peshawar Zalmi
Mohammad Haris,2022-2025,Peshawar Zalmi
Mohammad Imran,2020-2020,Peshawar Zalmi
Mohammad Imran,2021-2021,Peshawar Zalmi
Mohammad Irfan,2021-2021,Peshawar Zalmi
Mohammad Mohsin,2020-2020,Peshawar Zalmi
Mohammad Umar,2022-2022,Peshawar Zalmi
Mohammad Zeeshan,2024-2024,Peshawar Zalmi
EJG Morgan,2017-2017,Peshawar Zalmi
DR Mousley,2024-2024,Peshawar Zalmi
Mujeeb Ur Rahman,2021-2023,Peshawar Zalmi
Nabi Gul,2019-2019,Peshawar Zalmi
Naveen-ul-Haq,2024-2024,Peshawar Zalmi
JDS Neesham,2023-2023,Peshawar Zalmi
MJ Owen,2025-2025,Peshawar Zalmi
KA Pollard,2019-2019,Peshawar Zalmi
R Powell,2021-2024,Peshawar Zalmi
Rahat Ali,2020-2020,Peshawar Zalmi
PBB Rajapaksa,2023-2023,Peshawar Zalmi
SE Rutherford,2021-2022,Peshawar Zalmi
Saad Masood,2023-2023,Peshawar Zalmi
Saad Nasim,2018-2018,Peshawar Zalmi
Sabbir Rahman,2018-2018,Peshawar Zalmi
Saim Ayub,2023-2025,Peshawar Zalmi
Salman Irshad,2022-2024,Peshawar Zalmi
Sameen Gul,2018-2022,Peshawar Zalmi
DJG Sammy,2016-2020,Peshawar Zalmi
DR Sams,2025-2025,Peshawar Zalmi
MN Samuels,2017-2017,Peshawar Zalmi
Shahid Afridi,2016-2017,Peshawar Zalmi
Shahid Yousuf,2016-2016,Peshawar Zalmi
MD Shanaka,2023-2023,Peshawar Zalmi
Shakib Al Hasan,2017-2023,Peshawar Zalmi
Shoaib Malik,2020-2022,Peshawar Zalmi
