Team,Player Name,Country,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Quetta Gladiators,Shoaib Malik,Pakistan,Allrounder,13571,95*,35.99,0,187,13-May,27.7,2,238,0,8.29,125.2
Quetta Gladiators,Sean Abbott,Australia,Bowling Allrounder,954,110*,12.07,1,257,16-May,21.17,2,105,0,-9.1,119.5
Quetta Gladiators,Mark Chapman,New Zealand,Allrounder,3882,104*,25.88,2,22,22-Mar,29.63,0,76,0,-3.75,135.4
Quetta Gladiators,Abrar Ahmed,Pakistan,Bowler,43,12,3.58,0,86,9-Apr,21.61,0,17,0,-18.03,76.8
Quetta Gladiators,Ali Majid,Pakistan,Bowler,22,9*,-,0,22,27-Mar,24.81,0,9,0,-,112.5
Quetta Gladiators,Akeal Hosein,West Indies,Bowler,1093,55*,15.61,0,230,11-May,25.14,1,47,0,-9.53,110.6
Quetta Gladiators,Kyle Jamieson,New Zealand,Bowler,469,45*,21.31,0,103,7-Jun,24.97,1,22,0,-3.65,130.5
Quetta Gladiators,Khurram Shahzad,Pakistan,Bowler,57,17*,6.33,0,56,22-Apr,25.26,0,11,0,-18.93,56.8
Quetta Gladiators,Mohammad Amir,Pakistan,Bowler,458,30,7.15,0,409,17-Jun,22.4,2,43,0,-15.25,103.4
Quetta Gladiators,Mohammad Wasim,Pakistan,Bowler,353,34,12.17,0,117,24-Apr,26,0,51,0,-13.82,117.2
Quetta Gladiators,Mohammad Zeeshan,Pakistan,Bowler,0,0,0,0,1,Jan-38,134,0,0,0,-133.99,0
Quetta Gladiators,Usman Tariq,Pakistan,Bowler,27,7*,13.5,0,54,17-Apr,18.07,0,5,0,-4.57,84.6
