Player,Span,Country,SR,Bowling Style,Team,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
CG Harrison,2024-2025,Manchester Originals (Men),113.8,Legbreak,Manchester Originals,227.0,23,10.31,0.0,53.0,'5/11,22.45,1.0,29.0,0.0,-12.13
Fazalhaq Farooqi,2024-2024,Afghanistan,59.3,Medium,Manchester Originals,46.0,16*,6.57,0.0,154.0,'5/9,19.81,4.0,16.0,0.0,-13.24
J Hull,2024-2024,Manchester Originals (Men),105.7,Medium,Manchester Originals,26.0,12*,13.0,0.0,24.0,'3/28,27.04,0.0,4.0,0.0,-14.04
JB Little,2024-2024,Ireland,82.3,Fast,Manchester Originals,220.0,27*,12.94,0.0,160.0,'5/13,23.41,1.0,47.0,0.0,-10.47
LJ Evans,2024-2025,Perth Scorchers,138.3,Medium,Manchester Originals,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
MF Hurst,2024-2025,Perth Scorchers,127.2,,Manchester Originals,441.0,78,22.05,0.0,0.0,0,0.0,0.0,11.0,1.0,0.0
RJ Gleeson,2024-2025,England,70.8,Medium,Manchester Originals,57.0,8,5.18,0.0,129.0,'5/33,23.76,1.0,21.0,0.0,-18.58
SA Abbott,2024-2024,Australia,118.9,Medium,Manchester Originals,929.0,110*,11.91,1.0,250.0,'5/16,20.88,2.0,100.0,0.0,-8.97
SW Currie,2024-2025,Manchester Originals (Men),120.9,Medium,Manchester Originals,82.0,26*,13.66,0.0,55.0,'4/24,20.2,0.0,17.0,0.0,-6.53
Sikandar Raza,2024-2024,Zimbabwe,136.3,Offbreak,Manchester Originals,5985.0,133*,26.25,1.0,178.0,'5/18,27.01,1.0,121.0,0.0,-0.76
TA Lammonby,2024-2024,Hobart Hurricanes,141.2,Medium,Manchester Originals,904.0,90,18.83,0.0,15.0,'2/32,30.53,0.0,44.0,0.0,-11.69
TH Aspinwall,2024-2025,Manchester Originals (Men),128.9,Medium,Manchester Originals,27.0,18*,13.5,0.0,5.0,'4/18,32.4,0.0,1.0,0.0,-18.89
AJ Turner,2025-2025,Australia,140.6,Offbreak,Manchester Originals,3443.0,84*,25.31,0.0,34.0,'3/20,24.5,0.0,85.0,0.0,0.81
J Hull,2025-2025,Manchester Originals (Men),105.7,Medium,Manchester Originals,26.0,12*,13.0,0.0,24.0,'3/28,27.04,0.0,4.0,0.0,-14.04
J Overton,2025-2025,England,157.5,Fast,Manchester Originals,1601.0,83*,21.06,0.0,118.0,'5/47,27.64,1.0,87.0,0.0,-6.57
