Team,Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Oval Invincibles,ZJ Chappell,2023-2023,165.0,18*,10.31,0.0,81.0,'5/23,20.83,1.0,14.0,0.0,-10.52
Southern Brave,ADS Fletcher,2024-2024,7914.0,103*,28.46,3.0,3.0,'2/22,26.33,0.0,162.0,23.0,2.13
Southern Brave,AJ Hosein,2024-2024,941.0,44*,15.42,0.0,188.0,'5/11,25.5,1.0,44.0,0.0,-10.07
Southern Brave,AL Davies,2021-2024,3042.0,94*,23.76,0.0,0.0,0,0.0,0.0,88.0,28.0,0.0
Southern Brave,C Overton,2021-2024,508.0,42,14.51,0.0,120.0,'4/25,25.92,0.0,80.0,0.0,-11.41
Southern Brave,C de Grandhomme,2021-2021,4110.0,86,22.96,0.0,81.0,'3/4,39.13,0.0,103.0,0.0,-16.17
Southern Brave,CJ Jordan,2021-2024,2380.0,73,17.12,0.0,419.0,'4/6,27.39,0.0,201.0,0.0,-10.26
Southern Brave,CN Ackermann,2023-2023,4311.0,90*,26.28,0.0,93.0,'7/18,27.86,1.0,91.0,0.0,-1.57
Southern Brave,D Moriarty,2022-2022,41.0,9*,10.25,0.0,46.0,'4/25,26.93,0.0,4.0,0.0,-16.68
Southern Brave,DMW Rawlins,2021-2021,1809.0,91,25.84,0.0,54.0,'4/10,21.37,0.0,53.0,0.0,4.47
Southern Brave,DP Conway,2021-2023,6394.0,105*,40.98,2.0,3.0,'1/10,47.0,0.0,91.0,9.0,-6.01
Southern Brave,DP Hughes,2024-2024,3006.0,96*,29.76,0.0,0.0,0,0.0,0.0,37.0,0.0,0.0
Southern Brave,DR Briggs,2021-2024,291.0,35*,11.19,0.0,290.0,'5/19,21.37,1.0,48.0,0.0,-10.18
Southern Brave,FH Allen,2023-2023,4029.0,137,28.37,3.0,0.0,0,0.0,0.0,68.0,2.0,0.0
Southern Brave,GHS Garton,2021-2023,675.0,46,15.34,0.0,88.0,'4/16,26.14,0.0,26.0,0.0,-10.8
Southern Brave,JB Lintott,2021-2022,236.0,41,10.26,0.0,105.0,'4/20,22.59,0.0,41.0,0.0,-12.32
Southern Brave,JC Archer,2024-2024,708.0,36,14.44,0.0,214.0,'4/18,23.94,0.0,49.0,0.0,-9.49
Southern Brave,JJ Weatherley,2023-2023,1830.0,71,28.15,0.0,0.0,0,0.0,0.0,30.0,0.0,0.0
Southern Brave,JK Fuller,2022-2023,1893.0,57,20.13,0.0,173.0,'6/28,25.84,1.0,81.0,0.0,-5.7
Southern Brave,JL du Plooy,2023-2024,3609.0,92,29.58,0.0,14.0,'4/15,21.57,0.0,71.0,0.0,8.01
Southern Brave,JM Coles,2024-2024,520.0,69*,24.76,0.0,22.0,'4/12,25.22,0.0,18.0,0.0,-0.46
Southern Brave,JM Vince,2021-2024,11941.0,129*,32.18,7.0,3.0,'1/5,29.0,0.0,232.0,0.0,3.18
Southern Brave,KA Pollard,2024-2024,13537.0,104,31.33,1.0,326.0,'4/15,24.95,0.0,384.0,0.0,6.37
